row,strain,gene
0,Acidaminococcus-intestini-D21-MAF-2,cysK
4,Akkermansia_muciniphila,cysK
11,Alistipes-ihumii-AP11-MAF-2,cysK
13,Alistipes-indistinctus-YIT-12060-MAF-2,cysK
17,Alistipes-onderdonkii-DSM-19147-MAF-2,cysK
19,Alistipes-putredinis-DSM-17216-MAF-2,cysK
20,Alistipes-senegalensis-JC50-MAF-2,cysK
23,Alistipes-shahii-WAL-8301-MAF-2,cysK
25,Anaerobutyricum_hallii,cysK
33,Anaerostipes-caccae-DSM-14662-MAF-2,cysK
42,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysK
48,Bacteroides-caccae-ATCC-43185-MAF-2,cysK
53,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysK
59,Bacteroides-coprophilus-DSM-18228-MAF-2,cysK
62,Bacteroides-dorei-5-1-36-D4-MAF-2,cysK
68,Bacteroides-dorei-DSM-17855-MAF-2,cysK
73,Bacteroides-eggerthii-DSM-20697-MAF-2,cysK
78,Bacteroides-finegoldii-DSM-17565-MAF-2,cysK
83,Bacteroides-fragilis-2-1-16-MAF-2,cysK
88,Bacteroides-fragilis-3-1-12-MAF-2,cysK
94,Bacteroides-intestinalis-DSM-17393-MAF-2,cysK
100,Bacteroides-ovatus-ATCC-8483-MAF-2,cysK
105,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysK
110,Bacteroides-plebeius-DSM-17135-MAF-2,cysK
115,Bacteroides-rodentium-JCM-16496-MAF-2,cysK
122,Bacteroides-sp-3-1-19-MAF-2,cysK
126,Bacteroides-sp-9-1-42FAA-MAF-2,cysK
131,Bacteroides-sp-D2-MAF-2,cysK
136,Bacteroides-stercoris-ATCC-43183-MAF-2,cysK
143,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysK
148,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysK
154,Bacteroides-uniformis-ATCC-8492-MAF-2,cysK
161,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysK
166,Bacteroides_fragilis,cysK
171,Bacteroides_ovatus,cysK
176,Bacteroides_thetaiotaomicron,cysK
182,Bifidobacterium-adolescentis-L2-32-MAF-2,cysK
186,Bifidobacterium_adolescentis,cysK
190,Bifidobacterium_longum,cysK
194,Blautia-hansenii-DSM-20583-MAF-2,cysK
196,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysK
204,Blautia-obeum-ATCC-29174-MAF-2,cysK
210,Blautia-sp-KLE-1732-MAF-2,cysK
215,Blautia-wexlerae-DSM-19850-MAF-2,cysK
221,Butyricimonas-virosa-DSM-23226-MAF-2,cysK
222,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysK
230,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysK
234,Clostridium-scindens-ATCC-35704-MAF-2,cysK
238,Clostridium-sp-M62-1-MAF-2,cysK
243,Clostridium-spiroforme-DSM-1552-MAF-2,cysK
247,Collinsella-stercoris-DSM-13279-MAF-2,cysK
248,Collinsella_aerofaciens,cysK
253,Coprococcus-comes-ATCC-27758-MAF-2,cysK
258,Coprococcus-eutactus-ATCC-27759-MAF-2,cysK
264,Desulfovibrio_piger,cysK
270,Dorea-formicigenerans-ATCC-27755-MAF-2,cysK
273,Dorea-longicatena-DSM-13814-MAF-2,cysK
276,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysK
285,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysK
296,Escherichia_coli,cysK
304,Eubacterium-siraeum-DSM-15702-MAF-2,cysK
308,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysK
313,Eubacterium_eligens,cysK
319,Eubacterium_rectale,cysK
325,Faecalibacterium_prausnitzii,cysK
329,Granulicatella-adiacens-ATCC-49175-MAF-2,cysK
330,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysK
336,Lachnospira-eligens-ATCC-27750-MAF-2,cysK
342,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysK
345,Lactococcus-lactis-IL1403-MAF-2,cysK
351,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysK
357,Megasphaera-elsdenii-14-14-MAF-2,cysK
362,Mitsuokella-multacida-DSM-20544-MAF-2,cysK
367,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysK
370,Parabacteroides-merdae-ATCC-43184-MAF-2,cysK
373,Parabacteroides-sp-D13-MAF-2,cysK
377,Phocaeicola_vulgatus,cysK
381,Prevotella-buccalis-ATCC-35310-MAF-2,cysK
383,Prevotella-copri-DSM-18205-MAF-2,cysK
389,Roseburia-intestinalis-L1-82-MAF-2,cysK
395,Roseburia_intestinalis,cysK
401,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysK
407,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysK
413,Ruminococcus-torques-ATCC-27756-MAF-2,cysK
420,Ruminococcus_bromii,cysK
426,Streptococcus-thermophilus-LMD-9-MAF-2,cysK
430,Subdoligranulum-variabile-DSM-15176-MAF-2,cysK
434,Tyzzerella-nexilis-DSM-1787-MAF-2,cysK
440,Veillonella-sp-3-1-44-MAF-2,cysK
446,Veillonella-sp-6-1-27-MAF-2,cysK
454,Acidaminococcus-intestini-D21-MAF-2,cysM
458,Akkermansia_muciniphila,cysM
465,Alistipes-ihumii-AP11-MAF-2,cysM
