,strain,gene,hit_score
0,Acidaminococcus-intestini-D21-MAF-2,cysKcustom,109.9
1,Acidaminococcus-intestini-D21-MAF-2,cysMcustom,79.3
2,Acidaminococcus-intestini-D21-MAF-2,lcdcustom,49.9
3,Acidaminococcus-intestini-D21-MAF-2,malYcustom,546.3
4,Acidaminococcus-intestini-D21-MAF-2,metCcustom,387.6
5,Acidaminococcus_fermentans,cysKcustom,509.0
6,Acidaminococcus_fermentans,cysMcustom,343.8
7,Acidaminococcus_fermentans,lcdcustom,58.2
8,Acidaminococcus_fermentans,malYcustom,563.7
9,Acidaminococcus_fermentans,metCcustom,496.6
10,Actinobacillus_capsulatus,cysKcustom,485.0
11,Actinobacillus_capsulatus,cysMcustom,312.9
12,Actinobacillus_capsulatus,lcdcustom,56.3
13,Actinobacillus_capsulatus,malYcustom,469.1
14,Actinobacillus_capsulatus,metCcustom,560.8
15,Actinomyces_neuii,cysKcustom,522.2
16,Actinomyces_neuii,cysMcustom,357.6
17,Actinomyces_neuii,lcdcustom,37.9
18,Actinomyces_neuii,malYcustom,363.9
19,Actinomyces_neuii,metCcustom,514.4
20,Adlercreutzia_equolifaciens,cysKcustom,522.0
21,Adlercreutzia_equolifaciens,cysMcustom,352.0
22,Adlercreutzia_equolifaciens,lcdcustom,31.9
23,Adlercreutzia_equolifaciens,malYcustom,144.9
24,Adlercreutzia_equolifaciens,metCcustom,358.1
25,Adlercreutzia_equolifaciens,tnaA,12.9
26,Aggregatibacter_actinomycetemcomitans,cysKcustom,480.8
27,Aggregatibacter_actinomycetemcomitans,cysMcustom,316.4
28,Aggregatibacter_actinomycetemcomitans,lcdcustom,48.8
29,Aggregatibacter_actinomycetemcomitans,malYcustom,478.0
30,Aggregatibacter_actinomycetemcomitans,metCcustom,549.0
31,Aggregatibacter_actinomycetemcomitans,tnaA,771.1
32,Akkermansia_muciniphila,cysKcustom,540.5
33,Akkermansia_muciniphila,cysMcustom,367.3
34,Akkermansia_muciniphila,lcdcustom,72.3
35,Akkermansia_muciniphila,malYcustom,598.4
36,Akkermansia_muciniphila,metCcustom,408.9
37,Akkermansia_muciniphila,tnaA,599.2
38,Aliagarivorans_marinus,cysKcustom,510.4
39,Aliagarivorans_marinus,cysMcustom,337.0
40,Aliagarivorans_marinus,lcdcustom,71.9
41,Aliagarivorans_marinus,malYcustom,152.0
42,Aliagarivorans_marinus,metCcustom,594.3
43,Alistipes-ihumii-AP11-MAF-2,cysKcustom,536.6
44,Alistipes-ihumii-AP11-MAF-2,cysMcustom,364.6
45,Alistipes-ihumii-AP11-MAF-2,lcdcustom,50.7
46,Alistipes-ihumii-AP11-MAF-2,malYcustom,589.4
47,Alistipes-ihumii-AP11-MAF-2,metCcustom,336.0
48,Alistipes-indistinctus-YIT-12060-MAF-2,cysKcustom,538.4
49,Alistipes-indistinctus-YIT-12060-MAF-2,cysMcustom,362.8
50,Alistipes-indistinctus-YIT-12060-MAF-2,lcdcustom,63.7
51,Alistipes-indistinctus-YIT-12060-MAF-2,malYcustom,565.1
52,Alistipes-indistinctus-YIT-12060-MAF-2,metCcustom,364.5
53,Alistipes-indistinctus-YIT-12060-MAF-2,tnaA,602.8
54,Alistipes-onderdonkii-DSM-19147-MAF-2,cysKcustom,393.6
55,Alistipes-onderdonkii-DSM-19147-MAF-2,cysMcustom,431.4
56,Alistipes-onderdonkii-DSM-19147-MAF-2,lcdcustom,48.4
57,Alistipes-onderdonkii-DSM-19147-MAF-2,malYcustom,604.1
58,Alistipes-onderdonkii-DSM-19147-MAF-2,metCcustom,313.8
59,Alistipes-onderdonkii-DSM-19147-MAF-2,tnaA,847.2
60,Alistipes-putredinis-DSM-17216-MAF-2,cysKcustom,76.5
61,Alistipes-putredinis-DSM-17216-MAF-2,cysMcustom,42.2
62,Alistipes-putredinis-DSM-17216-MAF-2,lcdcustom,51.8
63,Alistipes-putredinis-DSM-17216-MAF-2,malYcustom,390.4
64,Alistipes-putredinis-DSM-17216-MAF-2,metCcustom,354.1
65,Alistipes-putredinis-DSM-17216-MAF-2,tnaA,841.3
66,Alistipes-senegalensis-JC50-MAF-2,cysKcustom,525.4
67,Alistipes-senegalensis-JC50-MAF-2,cysMcustom,355.9
68,Alistipes-senegalensis-JC50-MAF-2,lcdcustom,42.7
69,Alistipes-senegalensis-JC50-MAF-2,malYcustom,587.3
70,Alistipes-senegalensis-JC50-MAF-2,metCcustom,409.3
71,Alistipes-shahii-WAL-8301-MAF-2,cysKcustom,392.6
72,Alistipes-shahii-WAL-8301-MAF-2,cysMcustom,433.8
73,Alistipes-shahii-WAL-8301-MAF-2,lcdcustom,46.9
74,Alistipes-shahii-WAL-8301-MAF-2,malYcustom,569.3
75,Alistipes-shahii-WAL-8301-MAF-2,metCcustom,317.7
76,Alistipes-shahii-WAL-8301-MAF-2,tnaA,843.7
77,Alistipes_finegoldii,cysKcustom,380.7
78,Alistipes_finegoldii,cysMcustom,416.3
79,Alistipes_finegoldii,lcdcustom,56.9
80,Alistipes_finegoldii,malYcustom,570.2
81,Alistipes_finegoldii,metCcustom,354.7
82,Alistipes_finegoldii,tnaA,845.8
83,Alloscardovia_omnicolens,cysKcustom,97.1
84,Alloscardovia_omnicolens,cysMcustom,68.7
85,Alloscardovia_omnicolens,lcdcustom,49.2
86,Alloscardovia_omnicolens,malYcustom,422.4
87,Alloscardovia_omnicolens,metCcustom,379.1
88,Anaerobutyricum_hallii,cysKcustom,531.9
89,Anaerobutyricum_hallii,cysMcustom,363.3
90,Anaerobutyricum_hallii,lcdcustom,47.3
91,Anaerobutyricum_hallii,malYcustom,221.5
92,Anaerobutyricum_hallii,metCcustom,397.4
93,Anaerococcus_prevotii,cysKcustom,477.2
94,Anaerococcus_prevotii,cysMcustom,344.2
95,Anaerococcus_prevotii,lcdcustom,58.4
96,Anaerococcus_prevotii,malYcustom,432.8
97,Anaerococcus_prevotii,metCcustom,372.8
98,Anaerostipes-caccae-DSM-14662-MAF-2,cysKcustom,555.8
99,Anaerostipes-caccae-DSM-14662-MAF-2,cysMcustom,380.7
100,Anaerostipes-caccae-DSM-14662-MAF-2,lcdcustom,31.8
101,Anaerostipes-caccae-DSM-14662-MAF-2,malYcustom,219.6
102,Anaerostipes-caccae-DSM-14662-MAF-2,metCcustom,385.9
103,Anaerostipes_hadrus,cysKcustom,525.0
104,Anaerostipes_hadrus,cysMcustom,358.7
105,Anaerostipes_hadrus,lcdcustom,24.4
106,Anaerostipes_hadrus,malYcustom,545.4
107,Anaerostipes_hadrus,metCcustom,483.4
108,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysKcustom,553.3
109,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysMcustom,378.9
110,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcdcustom,75.6
111,Anaerotruncus-colihominis-DSM-17241-MAF-2,malYcustom,527.9
112,Anaerotruncus-colihominis-DSM-17241-MAF-2,metCcustom,413.2
113,Anaerotruncus-colihominis-DSM-17241-MAF-2,tnaA,770.3
114,Bacillus_subtilis,cysKcustom,552.0
115,Bacillus_subtilis,cysMcustom,367.8
116,Bacillus_subtilis,lcdcustom,82.5
117,Bacillus_subtilis,malYcustom,605.5
118,Bacillus_subtilis,metCcustom,567.7
119,Bacteroides-caccae-ATCC-43185-MAF-2,cysKcustom,542.8
120,Bacteroides-caccae-ATCC-43185-MAF-2,cysMcustom,361.3
121,Bacteroides-caccae-ATCC-43185-MAF-2,lcdcustom,85.2
122,Bacteroides-caccae-ATCC-43185-MAF-2,malYcustom,593.3
123,Bacteroides-caccae-ATCC-43185-MAF-2,metCcustom,409.2
124,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysKcustom,543.3
125,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysMcustom,365.0
126,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcdcustom,86.4
127,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,malYcustom,616.7
128,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,metCcustom,402.0
129,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,tnaA,853.2
130,Bacteroides-coprophilus-DSM-18228-MAF-2,cysKcustom,526.9
131,Bacteroides-coprophilus-DSM-18228-MAF-2,cysMcustom,365.7
132,Bacteroides-coprophilus-DSM-18228-MAF-2,lcdcustom,98.0
133,Bacteroides-coprophilus-DSM-18228-MAF-2,malYcustom,572.5
134,Bacteroides-coprophilus-DSM-18228-MAF-2,metCcustom,398.9
135,Bacteroides-dorei-5-1-36-D4-MAF-2,cysKcustom,534.4
136,Bacteroides-dorei-5-1-36-D4-MAF-2,cysMcustom,357.7
137,Bacteroides-dorei-5-1-36-D4-MAF-2,lcdcustom,93.5
138,Bacteroides-dorei-5-1-36-D4-MAF-2,malYcustom,601.2
139,Bacteroides-dorei-5-1-36-D4-MAF-2,metCcustom,407.0
140,Bacteroides-dorei-DSM-17855-MAF-2,cysKcustom,534.8
141,Bacteroides-dorei-DSM-17855-MAF-2,cysMcustom,356.7
142,Bacteroides-dorei-DSM-17855-MAF-2,lcdcustom,98.1
143,Bacteroides-dorei-DSM-17855-MAF-2,malYcustom,600.4
144,Bacteroides-dorei-DSM-17855-MAF-2,metCcustom,407.0
145,Bacteroides-eggerthii-DSM-20697-MAF-2,cysKcustom,544.2
146,Bacteroides-eggerthii-DSM-20697-MAF-2,cysMcustom,355.1
147,Bacteroides-eggerthii-DSM-20697-MAF-2,lcdcustom,96.2
148,Bacteroides-eggerthii-DSM-20697-MAF-2,malYcustom,570.4
149,Bacteroides-eggerthii-DSM-20697-MAF-2,metCcustom,399.6
150,Bacteroides-eggerthii-DSM-20697-MAF-2,tnaA,851.7
151,Bacteroides-finegoldii-DSM-17565-MAF-2,cysKcustom,539.5
152,Bacteroides-finegoldii-DSM-17565-MAF-2,cysMcustom,360.6
153,Bacteroides-finegoldii-DSM-17565-MAF-2,lcdcustom,78.8
154,Bacteroides-finegoldii-DSM-17565-MAF-2,malYcustom,568.8
155,Bacteroides-finegoldii-DSM-17565-MAF-2,metCcustom,413.0
156,Bacteroides-fragilis-2-1-16-MAF-2,cysKcustom,539.9
157,Bacteroides-fragilis-2-1-16-MAF-2,cysMcustom,362.4
158,Bacteroides-fragilis-2-1-16-MAF-2,lcdcustom,95.6
159,Bacteroides-fragilis-2-1-16-MAF-2,malYcustom,573.5
160,Bacteroides-fragilis-2-1-16-MAF-2,metCcustom,398.1
161,Bacteroides-fragilis-3-1-12-MAF-2,cysKcustom,540.1
162,Bacteroides-fragilis-3-1-12-MAF-2,cysMcustom,359.6
163,Bacteroides-fragilis-3-1-12-MAF-2,lcdcustom,95.4
164,Bacteroides-fragilis-3-1-12-MAF-2,malYcustom,595.6
165,Bacteroides-fragilis-3-1-12-MAF-2,metCcustom,395.8
166,Bacteroides-intestinalis-DSM-17393-MAF-2,cysKcustom,535.1
167,Bacteroides-intestinalis-DSM-17393-MAF-2,cysMcustom,361.0
168,Bacteroides-intestinalis-DSM-17393-MAF-2,lcdcustom,84.4
